b_Regneville,Regnéville
b_geguti,Geguti
b_geislingen,Geislingen
b_geldern,Gelderen
b_gelnhausen,Gelnhausen
b_gemai,Gemai
b_gembloux,Gembloux
b_geneve,Geneve
b_genoa,Genoa
b_gent,Gent
b_gentzkow,Gentzkow
b_georgenthal,Georgenthal
b_gera,Gera
b_geraardsbergen,Geraardsbergen
b_gerace,Gerace
b_geraci,Geraci
b_geraki,Geraki
b_gereny,Gereny
b_germanikopolis,Germanikoúpolis
b_gernrode,Gernrode
b_geroldseck,Geroldseck
b_gerolstein,Gerolstein
b_gerri,Gerri
b_gestelnburg,Gestelnburg
b_gesualdo,Gesualdo
b_gevrey,Gevrey
b_gex,Gex
b_ghadames,Ghadamés
b_ghanata,Ghanata
b_ghapan,Ghapan
b_ghardaiya,Ghardaíya
b_ghat,Ghát
b_ghazali,Ghazali
b_ghazna,Ghazní
b_ghelati,Gelati
b_gherlan,Gherlán
b_gherma,Gherma
b_ghiaggiolo,Ghiaggiolo
b_ghijduvan,Ghijduvan
b_ghiyaru,Ghiyaru
b_ghundidjan,Ghundiján
b_giaethning,Giaethning
b_gibelet,Gibelet
b_gibeletcastle,Château de Gibelet
b_gibellum,Gibellum
b_gibraleon,Gibraleón
b_gibraltar,Gibraltar
b_gidim,Gidim
b_giech,Giech
b_giecz,Giecz
b_giedraiciai,Giedraiciai
b_gien,Gien
b_giengen,Giengen
b_gierdawy,Gerdauen
b_giessen,Giessen
b_gifhorn,Gifhorn
b_gijon,Gijón
b_gilling_west,Gillingen
b_gillingham,Gillingham
b_gilsland,Gilsland
b_gimbrede,Gimbreda
b_gimsoy,Gimsøy
b_ginbo,Ginbo
b_girgenti,Girgenti
b_girona,Girona
b_gisborough,Gisborough
b_gish,Gish
b_gishi,Gishi
b_giske,Gizki
b_gissac,Gissac
b_giurgiu,Giurgiu
b_givet,Givet
b_givors,Givors
b_gizeh,Gízeh
b_gjerdevik,Gerði
b_gjirokaster,Argyrokastron
b_gjoelme,Gelmin
b_glak,Glak
b_glamoc,Dlamoc
b_glandeves,Glandéves
b_glarentza,Glarentza
b_glasgow,Glasgow
b_glatz,Glatz
b_glaumbaer,Glaumbær
b_glavacioc,Glavacioc
b_glavinitza,Glavinitza
b_glaz_ukrina,Glaž
b_gledenustyg,Gleden
b_gleiberg,Gleiberg
b_gleichen,Gleichen
b_glenluce,Glenluce
b_glere,Glère
b_gloggnitz,Gloggnitz
b_glogow,Glogów
b_gloucester,Gloucester
b_glukhov,Gluhov
b_glyndyfrdwy,Glyndyfrdwy
b_gnezdovo,Sviecesko
b_gniezno,Gniezno
b_gniwekowo,Gniwekowo
b_gobir,Gobir
b_goddalir,Goðdalir
b_godmanchester,Godmanchester
b_godollo,Gödöllö
b_godsgrace,Grâce-Dieu
b_goes,Goes
b_goghtn,Goghtn
b_goito,Goito
b_goldegg,Goldegg
b_golspie,Golspie
b_goltho,Goltho
b_golubac,Golubac
b_gomel,Gomiy
b_gomor,Gömõr
b_gonc,Gönc
b_gondar,Gondar
b_gondomar,Gondomar
b_gonio,Gonio
b_gonzaga,Gonzaga
b_goodrich,Goodrich
b_gora,Góra
b_goraj,Goray
b_gorbatovo,Mesecersk
b_gorcy,Gorcy
b_gordion,Gordion
b_gordon,Gordon
b_gorey,Gorey
b_gori,Gori
b_goris,Goris
b_gorjani,Gorjan
b_gorlitz,Görlitz
b_gormaz,Gormaz
b_gornji_tkalec,Tkalec
b_gorodeckievskij,Gorodets-Kievskiy
b_gorodecnovgorod,Gorodets
b_gorodez,Gorodets-Radilov
b_gorokhovets,Gorohovec
b_goroz,Goroz
b_gorseynon,Borth
b_gortyna,Gortyna
b_gorvol,Gorvol
b_gorz,Görz
b_gorzow,Gorzew
b_gosevelde,Gosevelde
b_goslar,Goslar
b_gostynin,Gostynin
b_gottingen,Göttingen
b_gottorp,Gotthorp
b_gouglak,Gouglak
b_goumbou,Goumbou
b_gouveia,Gouveia
b_gouzara,Gouzara
b_govora,Govora
b_gozo,Ghawdex
b_graben,Graben
b_gracanica,Gracanica
b_gradec_zagreb,Gradec
b_gradet,Gradet
b_gradina_drnis,Gradina
b_gradiska,Gradiska
b_graditzion,Graditzion
b_gradmersky,Grad Mersky
b_grado,Grado
b_grafenstein,Grafenstein
b_granada,Granada
b_granard,Granard
b_grande_chartreuse,Grande Chartreuse
b_grandola,Grândola
b_grandpre,Grandpré
b_grandson,Grandson
b_grandtully,Grandtully
b_grantham,Grantham
b_granville,Roque de Lihou
b_granyena,Granyera
b_grasse,Grasse
b_graus,Graus
b_gravensteencastle,Gravensteen
b_gravina,Gravina
b_gray,Gray
b_graz,Graz
b_great_barford,Barford
b_greben_castle,Greben
b_greifswald,Greifswald
b_greiz,Greiz
b_gremi,Gremi
b_grengiols,Grengiols
b_grenoble,Grenoble
b_grevena,Grevená
b_greyerz,Gruyère
b_grezes,Grésas
b_grignan,Grignan
b_grimbergen,Grimbergen
b_gristow,Gristow
b_grizane,Grižane
b_grnetti,Grnetti
b_grobe,Grobe
b_grobina,Grobin
b_grobnik_vinodol,Grobnik
b_groby,Groby
b_grodets,Gorodets-Meseërskiy
b_groitzsch,Groitzsch
b_grojec,Grójec
b_grolee,Grolée
b_gronau,Gronau
b_groningen,Groningen
b_groningen_blankenburg,Gröningen
b_grosin,Grosin
b_grosseto,Grosseto
b_groswin,Groswin
b_grottaglie,Grottaglie
b_grudziadz,Grudziadz
b_gruningen,Grüningen
b_guadalajara,Guadalajara
b_guadalcazar,Guadalcázar
b_guadalupe,Guadalupe
b_guadix,Guadix
b_guarda,Guarda
b_gubbio,Gubbio
b_guben,Guben
b_gubos,Gubos
b_guca_gora,Guca Gora
b_gudensberg,Gudensberg
b_guede,Guédé
b_guelmim,Guelmín
b_guerande,Guérande
b_guercif,Garsíf
b_guernica,Guernica
b_guerrah,Guerrah
b_guichen,Gwizien
b_guidimakka,Guidimaka
b_guihon,Guihon
b_guijuelo,Guijuelo
b_guildford,Guildford
b_guimar,Güimar
b_guimaraes,Guimarães
b_guingamp,Guingamp
b_gulbene,Schwanenburg
b_gulen,Gulaþing
b_gulistan,Gulistan
b_gulpayagan,Golpáyegán
b_gulshat,Gulshat
b_gundiuru,Gundiuru
b_gunzenhausen,Gunzenhausen
b_gurgan,Gorgán
b_gurganj,Gurganj
b_gurk,Gurk
b_gurkhan,Gurkhan
b_gurzivan,Gurziván
b_gurzuf,Gorzovium
b_gurzuvan,Gurzuván
b_gusau,Gusau
b_gustalla,Gustalla
b_gustrow,Gustrow
b_guta,Gúta
b_gutzkow,Gützkow
b_gyllebo,Gyullæ
b_gynaikokastron,Gynaikokastron
b_gyonguos,Gyönguös
b_gyorszentmarton,Gyõrszentmárton
b_gyorvar,Gyõrvár
b_gyulafehervar,Gyulafehérvár
b_gyulavar,Gyulavár
b_haapsalu,Hapsal
b_haarlem,Haarlem
b_habelschwerdt,Kladská Bystrice
b_habsburg,Habsburg
b_hachberg,Hachberg
b_hadamakert,Hadamagert
b_haddej,Haddej
b_hadeja,Hadeja
b_hadeln,Hadeln
b_hadensleben,Hadensleben
b_haderslev,Hathærslef
b_haditha,Haditha
b_haditha_anbar,Al-Haditha
b_hadleigh,Hadleigh
b_hagaslot,Haga
b_hagenau,Hagenau
b_haghbat,Haghbat
b_hagiasophia,Constantinople
b_hagiosdemetrios,Agios Demétrios
b_hailes,Hailes
b_haina,Haina
b_hajar,Hajar
b_hajaralasla,Hajar al-Asla
b_hajin,Hajin
b_hakarps,Haketorp
b_hakkari,Colamerg
b_hakoisten,Hagaborg
b_halaib,Haláib
b_halavand,Halávand
b_halberstadt,Halberstadt
b_hald,Hallæ
b_hali,Hali
b_halib,Halib
b_halifax,Halifax
b_halikarnassos,Halikarnassos
b_halle,Halle
b_halmstad,Halmstath
b_halmyros,Halmyros
b_hals,Hals
b_halsany,Gorodets-Minskiy
b_halsnoey,Halsney
b_halton,Halton
b_halych,Galich
b_hamadan,Hamedán
b_hamamashen,Hamamašen
b_hamarhus,Hamarr
b_hamasen,Hamasén
b_hambarketolo,Hambarketolo
b_hamburg,Hamburg
b_hamburgaltona,Altona
b_hamburgaltstadt,Altstadt
b_hamburgbergedorf,Bergerdorp
b_hamburgharburg,Harburg
b_hamburgneustadt,Neustadt
b_hameenlinna,Tauestahus
b_hamm,Hamm
b_hammam,Hammám
b_hammelburg,Hammelburg
b_hammershus,Hamar
b_hamra,Hamra
b_hamvaran,Hamvárán
b_hamza,Hamza
b_hanau,Hanau
b_hanijar,Hanijar
b_hannover,Hannover
b_hanusflava,Hanusflava
b_hanyan,Hunayn
b_harad,Harad
b_haradok,Gorodok-Polotskiy
b_harba,Harba
b_harbach,Harbach
b_harbottle,Harbottle
b_hardegg,Hardegg
b_hardelot,Saint-Férieux
b_harenc,Harenc
b_harimantiochia,Harim
b_harlaumoldavia,Hârlau
b_harlingen,Harlingen
b_haro,Haro
b_harpasa,Harpasa
b_harsefeld,Harsefeld
b_harsova,Harsovo
b_hartanedessa,Hartan
b_hartenstein,Hartenstein
b_hartlepool,Hartlepool
b_hartshill,Hartshill
b_harviala,Harviala
b_haseldorf,Haseldorf
b_hashimgird,Háshimgird
b_hasselt,Hasselt
b_hastings,Hastings
b_haterk,Hat'erk
b_hatfield,Hatfield
b_hattin,Hittin
b_hatvan,Hatvan
b_haugesund,Haugar
b_hauldtorp,Hauldtorp
b_hautecombe,Hautecombe
b_hautpoul,Hautpoul
b_havelberg,Havelberg
b_havering,Havering
b_hawsam,Hawsam
b_haydaran,Haydarán
b_hayk,Hayk
b_haykaberd,Haykaberd
b_haymana,Haymana
b_hayq,Hayq
b_hayyal,Tall Hayyal
b_hazarasp,Hazárasp
b_hebervar,Hébervár
b_hebron,St-Abraham
b_hechingen,Hechingen
b_heddinge,Hæddyng
b_hedeby,Hetheby
b_hedingham,Hedingham
b_heideck,Heideck
b_heidelberg,Heidelberg
b_heilbronn,Heilbronn
b_heilgenbeil,Heilgenbeil
b_heiligenstadt,Heiligenstadt
b_heilsberg,Heilsberg
b_heilsbronn,Heilsbronn
b_heinfels,Heinfels
b_heinsberg,Heinsberg
b_helfenstein,Helfenstein
b_hellenstein,Hellenstein
b_hellin,Hellín
b_helme,Helmet
b_helmsley,Helmsley
b_helmstedt,Helmstedt
b_helsingborg,Hælsyngburgh
b_helston,Helston
b_helwan,Hulwán
b_hemel_hempstead,Hemel Hempstead
b_hengebach,Hengebach
b_hengistburg,Hengistburg
b_henneberg,Henneberg
b_hennebont,Hennebont
b_henrykow,Henryków
b_henu,Heinhof
b_hephaistia,Hephaisteia
b_herakleia,Herakleia Pontike
b_herakleiaperinthos,Herakleia
b_herat,Herát
b_herbeumont,Herbeumont
b_herbitzheim,Herbitzheim
b_herceg_novi,Novi
b_hereford,Hereford
b_herford_westfalen,Hereford
b_hericourt,Héricourt
b_hermannilinnus,Hermannsfeste
b_hersfeld,Hersfeld
b_hertford,Hertford
b_hervas,Hervas
b_herve,Herve
b_herzberg,Herzberg
b_hesselager,Hæsleakær
b_hethars,Héthárs
b_heuchin,Heuchin
b_heunburg,Heunburg
b_heves,Heves
b_hexamilion,Hexamilion
b_hexham,Hexham
b_hieria,Hiereia
b_hieron,Phanárion
b_higra,Al-Hijr
b_hijar,Híjar
b_hildesheim,Hildesheim
b_hillah,Al-Hilla
b_himara,Khimara
b_hirsau,Hirsau
b_hirschberg,Hirschberg
b_hiskampis,Hiskampis
b_hisn-ibn-umara,Hesn ebn Omára
b_hisnaddair,Hisn ad-Dair
b_hisnkayf,Hisn Kayf
b_hita,Hita
b_hitzacker,Hitzacker
b_hjelm,Hiælm
b_hjoerring,Hioringy
b_hlubcice,Hlubcice
b_hlucin,Hlucin
b_hlusk,Glusk
b_hlynsk,Glinsk
b_hochlach,Hochlach
b_hochstaden,Hochstaden
b_hodeida,Hudayda
b_hodenberg,Altenbücken
b_hoevel,Hövel
b_hoeyanger,Heyangr
b_hof,Hof
b_hoggar,Hoggar
b_hohenbaden,Hohenbaden
b_hohenberg,Hohenberg
b_hohenburg,Hohenburg
b_hohenems,Hohenems
b_hohnstein,Hohnstein
b_hokksund,Hoen
b_holar,Hólar
b_holavnik,Holavnik
b_holbaek,Holæbæc
b_hole,Hólar
b_holmtver,Holm
b_holoola,Hollola
b_holopojgorodok,Holopij Gorodok
b_holopojgorodokmologa,Nizhny Holopij Gorodok
b_holstebro,Holstathbro
b_holt,Holt
b_homberg,Homberg
b_homburg,Homburg
b_homburg_berg,Homburg
b_homburg_saar,Homburg
b_homs,Hims
b_hon,Hón
b_honnecourt,Honnecourt
b_hontvar,Hontvár
b_hook_norton,Hook Norton
b_hoorn,Hoorn
b_horki,Yorkji
b_hormuz,Hormoz
b_horn,Horn
b_hornija,Hornija
b_horod,Gorodok-Galitskiy
b_horodnya,Horobor
b_horomos,Horomos
b_horsens,Horsnæs
b_horsford,Horsford
b_horstmar,Horstmar
b_horten,Holtar
b_horvactver,Horvac
b_hotarani,Hotarani
b_hotmysl,Hotmyšl'
b_houdan,Houdan
b_houffalize,Houffalize
b_houmtsouk,Hawmat as-Súq
b_hov,Hof
b_hovedoeya,Hofudey
b_howden,Howden
b_hoya,Hoya
b_hoyerswerda,Hoyerswerda
b_hradeckralove,Hradec
b_hradiste,Hradiste
b_hrasekaberd,Hrasekaberd
b_hrejlin,Hreljin
b_hrubieszow,Hrubieszow
b_hu,Hú
b_huckeswagen,Hückeswagen
b_hucknall,Hucknall
b_huddersfield,Huddersfield
b_huelgoat,Huelgoat
b_huelma,Huelma
b_huelva,Huelva
b_huerta,Huerta
b_huesca,Huesca
b_hulbuk,Hulbuk
b_hull,Kingston upon Hull
b_hulwan,Hulwán
b_humac,Humac
b_hummel,Hummel
b_humor,Humor
b_humraj,Humraj
b_hundorp,Hundþorp
b_hunehals,Hunæhals
b_hunin,Chateu Neuf
b_huntingdon,Huntingdon
b_hurmuzferra,Hurmuzferra
b_husavik,Húsavík
b_husimoldavia,Husi
b_hustad,Húsastaðir
b_hustad_romsdal,Húsastaðir
b_huth,Huth
b_huwayza,Huwayza
b_huy,Huy
b_huzu,Huzú
b_hvar_stari_grad,Hvar
b_hwlffordd,Hwlffordd
b_hybbe,Hybbe
b_hyeres,Hyères
b_hylestad,Hyljastaðir
b_hypsele,Hypsele
b_hythe,Hithe
b_iasimoldavia,Iasi
b_ibbenburen,Ibbenbüren
b_ibora,Ibora
b_iburg,Iburg
b_ibyar,Ibyár
b_idanha_a_nova,Idanha a Nova
b_idhadj,Idháj
b_idjil,Idjíl
b_ierapetra,Hierà Pýtna
b_ierissos,Hierissos
b_ifat,Ifat
b_ifni,Ifní
b_igdy_kala,Igdy
b_igilliz,Igílíz
b_igiradyatuf,Igir ad Yatouf
b_igoumenitsa,Hegoumenitza
b_ihlow,Ihlow
b_ihtiman,Štipone
b_ijsselstein,Ijsselstein
b_ikervar,Ikervár
b_ikhmin,Akhmím
b_ikhmindi,Ikhmindi
b_ikjan,Íkján
b_ikonion,Ikonion
b_ikskila,Üxküll
b_ilanz,Ilanz
b_ilavche,Ilovec
b_ilawka,Yladia
b_ilchester,Ilchester
b_ilhavo,Ílhavo
b_ilion,Ilion
b_ilizi,Ilízí
b_illava,Illava
b_illbaliq,Illbaliq
b_illek,Jelik
b_illescas,Illescas
b_illi,Illi
b_ilok,Ilok
b_ilori,Ilori
b_imbros,Imbros
b_imola,Imola
b_imotski,Imotski
b_impiltis,Emplitten
b_impington,Impington
b_infa,Anfa
b_ingelheim,Ingelheim
b_inglostadt,Inglostadt
b_ini,Ini
b_iniscealtra,Inis Cealtra
b_inkerman,Kalamita
b_innichen,Innichen
b_innisfallen,Inisfallen
b_innsbruck,Innsbrück
b_inowlodz,Inowlodz
b_inowroclaw,Inowroclaw
b_insalah,In Salah
b_insterburg,Instierburg
b_inveraray,Inveraray
b_inverbervie,Inverbervie
b_invergarry,Invergarry
b_inverness,Inverness
b_inverurie,Inverurie
b_ioannina,Ioannina
b_iona,Iona
b_ionopolis,Ionopolis
b_ioudjelin,Yudjlin
b_ipswich,Ipswich
b_iqna,Iqná
b_iraklio,Megalokastron
b_irgiz,Irgiz
b_irun,Irún
b_iruna_de_oca,Iruña de Oca
b_isauria,Isauria
b_ischia,Ischia
b_isegran,Isegran
b_isenburg,Isenburg
b_isfahan,Esfahán
b_isfarain,Isfará'in
b_ishkashim,Ishkáshim
b_isilkul,Isilkul
b_isjum,Izjum
b_iskaf,Iskaf
b_iskaf_nahrawan,Iskaf
b_iskor,Iskor
b_iskorosten,Ikorosten
b_isleworth,Isleoworth
b_isna,Isná
b_isola,Isola
b_ispijab,Isfíjáb
b_istahbanat,Istahbánát
b_istakh,Istákh
b_istakhr,Estakhr
b_istikhan,Ishtíkhán
b_itfih,Itfíh
b_ithaca,Ithaka
b_itri,Itri
b_itter,Itter
b_itzehoe,Itzehoe
b_iuje,Vija
b_iuliopolis,Basilaion
b_ivanichy,Ivanitchi
b_ivanovo,Ivanovo
b_ivanovskaya,Ivangorod
b_ivdel,Ivdel
b_ivrea,Ivrea
b_izborsk,Izborsk
b_izeslavl,Izeslavl
b_izhevsk,Otš
b_izhma,Ižva
b_iziaslvl,Izyaslavl
b_iznajar,Iznájar
b_izra,Izra
b_izyaslav,Izjalsvl-Volynskiy
b_jabaloyas,Jabaloyas
b_jabulta,Jabulta
b_jaca,Jaca
b_jaen,Jaén
b_jaffa,Jaffa
b_jafran,Jafrán
b_jajarm,Jájarm
b_jajce,Jajce
b_jalula,Jalula
b_jam,Jam
b_jamiayn,Jámi'án
b_jamvysgorod,Jam
b_janad,Janad
b_jand,Jand
b_jaraizdelavera,Jaraiz de la Vera
b_jaramana,Jaramana
b_jarbaya,Járbáya
b_jarez,Jarez
b_jarjaraya,Jarjaraya
b_jarjis,Zarzís
b_jarlekhi,Jariekhi
b_jarmen,Jarmen
b_jarocin,Jaorcin
b_jaromer,Jaromer
b_jaropoleczalesskij,Yaropolets-Zalesskiy
b_jaropolk,Yaropolk
b_jaroslav,Tarolsavl'
b_jarrow,Jarrow
b_jarun,Jarun
b_jasd,Jásd
b_jaszapati,Jászapati
b_jaszarokszallas,Jászarokszállás
b_jaszbereny,Jászberény
b_jaszo,Jászó
b_jat,Jät
b_jativa,Játiva
b_jatzkow,Jatzkow
b_jaunjelgava,Friedrichstadt
b_jawor,Jawor
b_jay,Jay
b_jazdow,Jazdów
b_jazirat,Jazírat ibn 'Umar
b_jebalalqala,Jebal Al Qal'a
b_jedburgh,Jedburgh
b_jeddah,Jidda
b_jekablis,Jekablis
b_jekabpils,Jakobstadt
b_jelgava,Mitau
b_jelling,Jalyng
b_jelsa,Jelsa
b_jena,Jena
b_jeno,Jenö
b_jenotajewka,Yenotay
b_jerada,Jerada
b_jerez,Jerez
b_jerezdeloscaballeros,Jerez de los Caballeros
b_jerichow,Jerichow
b_jerm,Jerm
b_jermuk,Jermuk
b_jermuk_erzurum,Jermuk
b_jersika,Gerzike
b_jerusalem,Jérusalem
b_jerzejow,Jerzejow
b_jever,Jever
b_jezi,Jesi
b_jezzine,Jizzin
b_jibla,Jiblah
b_jicin,Jicin
b_jieznas,Jieznas
b_jigirband,Jígirband
b_jihlava,Jihlava
b_jijel,Jijáíl
b_jimenadelafrontera,Jimena de la Frontera
b_jishisrael,Jish
b_jizan,Jizan
b_jodan,Jódan
b_johannisburg,Johannisburg
b_joigny,Joigny
b_jomiskis,Sidabre
b_jonava,Jonava
b_jordanaqba,Elim
b_jorquera,Jorquera
b_josselin,Josselin
b_joux,Joux
b_jowatha,Jowatha
b_joyeuse,Juèsa
b_jrvshtik,Jrvshtik
b_jukarsborg,Jukarsborg
b_julich,Jülich
b_jungshoved,Junxhoulæth
b_jurash,Jurash
b_jurbarkas,Jurbarkas
b_juterbog,Juterbog
b_jvari,Jvari
b_kaba,Kaba
b_kabala,Kabala
b_kabold,Kabold
b_kabora,Kabora
b_kabul,Kábol
b_kadan,Kadan
b_kadero,Kadero
b_kadom,Kadom
b_kaduna,Kaduna
b_kafernburg,Kafernburg
b_kafr_tab,Kafr-Tab
b_kafrbatna,Kafr Batna
b_kafryasif,Kafr Yasif
b_kagalnik,Kagalnik
b_kagha,Kagha
b_kaghankatuyk,Kaghankatuyk
b_kaghzvan,Kaghzvan
b_kahlan,Kahlan
b_kaigorod,Kaykar
b_kain,Káin
b_kairouan,Qayrawán
b_kaisareia,Kaisareia
b_kaisun,Cressum
b_kajaani,Kajana
b_kajaran,Kajaran
b_kakavaberd,Kakavaberd
b_kakhovka,Kerman
b_kakisalmi,Keksholm
b_kalabaka,Stagoi
b_kalabsha,Kalabsha
b_kalamata,Kalamata
b_kalamos,Kalamos
b_kalanti,Kaland
b_kalar,Kalar
b_kalaus,Kylavys
b_kalen,Kalen
b_kaliakra,Kalikara
b_kalif,Kálif
b_kalisz,Kalisz
b_kalmarslott,Kalmarslott
b_kalmius,Kalmius
b_kalocsa,Kalocsa
b_kaloe,Kalløff
b_kalonoros,Kalonoros
b_kalpin,Kalpin
b_kaluga,Kaluga
b_kalundborg,Kalundæburgh
b_kalvi,Pöddes
b_kalyazin,Ksnjatin
b_kamakha,Kamakh
b_kamenz_lausitz,Lausitz
b_kamicak,Kamichak
b_kamin,Kamín
b_kaminkashyrskyi,Kamen
b_kamisa,Kamisa
b_kammer,Kammer
b_kammin,Kammin
b_kamnik,Stein
b_kamnopskov,Kamno
b_kamnuriyya,Kamnuriyya
b_kampen,Kampen
b_kamyanetspodilsky,Kamenets-Podol'skiy
b_kamyanyets,Kamenec
b_kanal,Kanal
b_kandahar,Kandahár
b_kandail,Kandabil
b_kandak,Kandak
b_kandava,Kandau
b_kandia,Khanià 
b_kanem,Kanem
b_kanevkievskij,Kanev
b_kangaba,Kangaba
b_kangare,Kangare
b_kangivar,Kangivár
b_kaniaga,Kaniaga
b_kaniana,Kaniana
b_kanina,Kanina
b_kanizsa,Kanizsa
b_kankan,Kankan
b_kano,Kano
b_kantalahti,Kandalaksha
b_kantara,Kantara
b_kapan,Kapan
b_kaposvar,Kaposvár
b_kaptol,Kaptol
b_kapuvar,Kapuvár
b_kapyl,Kopyl'
b_karachev,Karachev
b_karadj,Karaj
b_karadj_igharayn,Karaj
b_karakiya,Karakiya
b_karako,Karakó
b_karakol,Karakol
b_karasu,Karasu
b_karasu_ayaguz,Karasu
b_karatiyya,Galatie
b_karbas,Karbas
b_karcsa,Karcsa
b_kardung,Kardung
b_kardzahli,Zherkovo
b_kareima,Kareima
b_kargopol,Kargopol
b_karhumaki,Karhumäki
b_karima,Karima
b_kariyan,Káriyán
b_karkara,Karkara
b_karkaron,Karkaron
b_karknaabbey,Falkenau
b_karksi,Karkus
b_karkuya,Karkúya
b_karlsburg,Karlsburg
b_karnburg,Karnburg
b_karpasia,Karpasos
b_karpathos,Karpathos
b_karpien,Karpien
b_kars,Kars
b_karsakbay,Karsakbay
b_karscilicia,Kars
b_kartalimen,Kartalimen
b_kartchavan,Kartchavan
b_karukh,Karúkh
b_karuse,Karissen
b_karvuna,Karvuna
b_karystos,Karystos
b_karytaina,Karytaina
b_kasan,Kasan
b_kasba,Kasba
b_kaseg,Kaseg
b_kashan,Káshán
b_kashgar,Kashgar
b_kashin,Kasin
b_kasina,Kašina
b_kasira,Kasira
b_kasplya,Kasplja
b_kasr-i-kand,Kasr-i-Kand
b_kasra,Kasra
b_kasra_sakmar,Kasra
b_kasribnsinan,Kasr ibn Sinan
b_kasriskari,Kasriskari
b_kasrkutama,Kasr Kutáma
b_kassa,Kassa
b_kassala,Kassala
b_kassandria,Kassandreia
b_kassel,Cassel
b_kassiopi,Kassiopi
b_kastamonu,Kastra Komnenon
b_kastl,Kastl
b_kastoria,Kostur
b_kastrochios,Kastro Chios
b_kastronamisos,Kastro Amisos
b_kastronsinope,Kastro Sinope
b_kastronthessalonika,Heptapyrgion
b_kath,Káth
b_katsina,Katsina
b_katzenelnbogen,Katzenelbogen
b_kaunas,Kaunas
b_kaup,Wiskiauten
b_kaupang,Kaupangr
b_kavala,Khristoupolis
b_kavilda,Kawelecht
b_kawa,Kawa
b_kayan,Kayan
b_kazaly,Kazaly
b_kazarun,Kázerún
b_kazdanga,Katzdangen
b_kazhirovo,Kazhirovo
b_kazima,Kazima
b_kazimierz,Kazimierz
b_kazvin,Kazvín
b_kcynia,Kcynia
b_keava,Kedenpäh
b_kebili,Kebili
b_kecharis,Kecharis
b_kechran,Kechran
b_kecskemet,Kecskemét
b_kedama,Kedama
b_kefalonia,Sami
b_keila,Kegl
b_keith,Keith
b_kekava,Keckau
b_kelatsminda,Kelatsminda
b_kelme,Kelmé
b_kelso,Kelso
b_keltzene,Erznka
b_kem,Kem
b_kemberg,Kemberg
b_kemnitz,Kemnitz
b_kempten,Kempten
b_kend-i-badam,Kand-i Bádhám
b_kendal,Kirkby
b_kenilworth,Kenilworth
b_kensington,Kensington
b_kepno,Kepno
b_kerasous,Kerasous
b_kerch,Kerch
b_kerles,Kerlés
b_kerma,Kerma
b_kerman,Kermán
b_kermanshah,Kermánsháh
b_kermenchuk,Kermenchuk
b_kerminiya,Kermíniya
b_kernave,Kernave
b_keselo,Keselo
b_kesh,Kesh
b_kesmark,Késmárk
b_kessel,Kessel
b_kessin,Kessin
b_keswick,Keswick
b_ketama,Ketáma
b_kettering,Kettering
b_kevevara,Kevevár
b_keyla,Keyla
b_kezdi,Kézdivásárhely
b_kezlev,Kezlev
b_khabis,Khábis
b_khabr,Khábr
b_khachen,Khachen
b_khadra,al-Khadra
b_khakhmati,Khakhmati
b_khakhuli,Khakuli
b_khamis,Khamis
b_khamshi,Khamshi
b_khanasir,Anasartha
b_khandud,Khandúd
b_khanyunis,Khan Younis
b_kharana,Qasr Kharana
b_kharashket,Kharashket
b_kharax,Kharax
b_kharibta,Kharibtá
b_kharija,Al-Khárija
b_kharkan,Kharkán
b_kharkhiz,Kharkhíz
b_kharruba,Arnaldi
b_kharsianon,Kharsianon
b_kharton,Kharton
b_khasht,Khasht
b_khawr,Khawr
b_khawr_nubt,Khawr Nubt
b_khaysar,Khaysár
b_khazaran,Qanbaliq
b_khema,Khema
b_khenchela,Khanchela
b_kherson,Khersõn
b_khertvisi,Khertvisi
b_khir,Khír
b_khislvichi,Hislavici
b_khiva,Khiva
b_khlemoutsi,Khloumoutsi
b_khliara,Khliara
b_khnus,Knunis
b_khobi,Khobi
b_khojand,Khujand
b_kholm,Holm
b_kholmkholmsky,Holm
b_kholmogory,Kalmomäki
b_khoni,Khoni
b_khoranashat,Khoranashat
b_khorfakkan,Fakkan
b_khornabuji,Khornabuji
b_khornaolivia,Khorna
b_khortytsia,Khortyzja
b_khorzhak,Khorchak
b_khost_tokharestan,Khóst
b_khosta,Khosta
b_khotchino,Khotchino
b_khotyn,Hoten
b_khotynchernivstskij,Hoten
b_khubdhan,Khúbdhán
b_khuchan,Qúchán
b_khula,Khula
b_khulays,Khulays
b_khulm,Khulm
b_khumar,Khumar
b_khunaj,Khúnaj
b_khunzakh,Khunzkh
b_khur,Khúr
b_khurmuj,Khurmuj
b_khurramabad,Khorramabád
b_khusb,Khúsb
b_khusrugird,Khusrúgird
b_khust,Khúst
b_khuvar,Khuvár
b_khuwara,Khuwara
b_khvalynsk,Sosnovy Ostrov
b_khvash,Khvásh
b_khwaf,Khwáf
b_khwash,Khwásh
b_kibaia,Kibaia
b_kibotos,Kibotos
b_kibyra,Kibyra
b_kicevo,Kicevo
b_kidal,Kidal
b_kidderminster,Kidderminster
b_kidksa,Kideksa
b_kidlington,Kidlington
b_kiel,Kiel
b_kielce,Kielce
b_kiev,Kiev
b_kiffa,Kiffa
b_kifion,Kifion
b_kilcash,Kilcash
b_kildalton,Kildalton
b_kilifarevo,Kilifarevo
b_killiz,Killiz
b_kilmacduagh,Kilmacduagh
